iteration,seed,temperature,source_text,translated_text,timestamp
1,101,0,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri? Omong kosong*, reaksi instan dan terdiam saya. Mengapa Sybil tidak mempekerjakan saya untuk mengunjungi makamnya terlebih dahulu, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak bunuh diri. Dell Teague telah dibunuh, sama seperti kekasihnya yang bersemangat. Saya membuka mata. Hollis Boxleitner telah berputar untuk memeriksa apa yang sedang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:28:51 2025
1,101,1.5,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri? Omong kosong*, itu adalah reaksi instan, dan terdiam, saya. Mengapa Sybil tidak mempekerjakan saya untuk terlebih dahulu mengunjungi makamnya di sini, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak bunuh diri. Dell Teague telah dibunuh, sama seperti kekasihnya yang liar. Saya membuka mata. Hollis Boxleitner telah berbalik untuk melihat apa yang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:28:55 2025
2,202,0,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri? Omong kosong*, adalah reaksi instan dan terdiam saya. Mengapa Sybil tidak mempekerjakan saya untuk mengunjungi makamnya terlebih dahulu, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak akan bunuh diri. Dell Teague telah dibunuh, sama seperti kekasihnya yang bengal. Saya membuka mata. Hollis Boxleitner telah berputar untuk melihat apa yang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:28:58 2025
2,202,1.5,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri, omong kosong*, adalah reaksi instan dan tanpa suara saya. Mengapa Sybil tidak mempekerjakan saya untuk terlebih dahulu mengunjungi makamnya di sini, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak akan bunuh diri. Dell Teague telah dibunuh, sama seperti kekasihnya yang keras kepala. Saya membuka mata. Hollis Boxleitner telah berbalik untuk melihat apa yang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:29:01 2025
3,303,0,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri? Omong kosong*, reaksi instan dan terdiam saya. Mengapa Sybil tidak mempekerjakan saya untuk mengunjungi makamnya terlebih dahulu, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak akan bunuh diri. Dell Teague telah dibunuh, sama seperti kekasihnya yang keras kepala. Saya membuka mata. Hollis Boxleitner telah berbalik untuk memeriksa apa yang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:29:04 2025
3,303,1.5,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Pikiran bunuh diri, omong kosong*, adalah reaksi instan dan terdiam saya. Mengapa Sybil tidak mempekerjakan saya untuk mengunjungi makamnya terlebih dahulu, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak bunuh diri. Dell Teague telah dibunuh, sama seperti kekasihnya yang liar. Saya membuka mata. Hollis Boxleitner telah berbalik untuk memeriksa apa yang sedang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:29:08 2025
4,404,0,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri? Omong kosong*, reaksi instan dan terdiam saya. Mengapa Sybil tidak mempekerjakan saya untuk mengunjungi makamnya terlebih dahulu, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak bunuh diri. Dell Teague telah dibunuh, sama seperti kekasihnya yang berapi-api. Saya membuka mata. Hollis Boxleitner telah berbalik untuk melihat apa yang sedang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:29:11 2025
4,404,1.5,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri, omong kosong*, adalah reaksi instan, dan terdiam, saya. Mengapa Sybil tidak mempekerjakan saya untuk mengunjungi makamnya terlebih dahulu, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak akan menembak dirinya sendiri. Dell Teague telah dibunuh, sama seperti kekasihnya yang bengal. Saya membuka mata. Hollis Boxleitner telah berbalik untuk memeriksa apa yang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:29:14 2025
5,505,0,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri, omong kosong*, adalah reaksi instan dan sunyi saya. Mengapa Sybil tidak mempekerjakan saya untuk mengunjungi makamnya terlebih dahulu, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak bunuh diri. Dell Teague telah dibunuh, sama seperti kekasihnya yang bengal. Saya membuka mata. Hollis Boxleitner telah berbalik untuk memeriksa apa yang sedang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:29:17 2025
5,505,1.5,"*Suicide, my ass*, was my instant, and silent, reaction. Why hadn't Sybil hired me to come out here to read his grave first, instead of sending me to the woods to find Teenie? Of course this boy hadn't shot himself. Dell Teague had been murdered, just like his wild girlfriend. I opened my eyes. Hollis Boxleitner had swung around to check on what I was doing. I looked into the intent face of the deputy. ""No suicide here,"" I said.","*Bunuh diri? Omong kosong*, itu adalah reaksi instan dan terdiam saya. Mengapa Sybil tidak mempekerjakan saya untuk mengunjungi makamnya terlebih dahulu, alih-alih mengirim saya ke hutan untuk mencari Teenie? Tentu saja anak ini tidak akan bunuh diri. Dell Teague telah dibunuh, sama seperti kekasihnya yang ceroboh. Saya membuka mata. Hollis Boxleitner telah berbalik untuk melihat apa yang sedang saya lakukan. Saya menatap wajah serius wakil. ""Tidak ada bunuh diri di sini,"" kataku.",Fri Oct 17 21:29:21 2025
